"path";"filename";"offset";"size";"type";"loadAddr"
"Data";"intro";"0x2000";"0x286";"basic";
"Data";"menu";"0x8000";"0x34C6";"basic";
"Data";"asminit1";"0x1000";"0x800";"asm";"0xD100"
"Data";"asminit2";"0x1800";"0x800";"asm";"0xD800"
"Data";"asmsub";"0x2800";"0x800";"asm";"0x7B00"
"Data";"asmbasic";"0x3000";"0x1000";"asm";"0x9000"
"Data";"asm3";"0x4000";"0x800";"asm";"0xB310"
"Data";"asmmain";"0x4800";"0x2800";"asm";"0xA300"
"Data";"asm5";"0xA800";"0x800";"asm";"0x9D00"
"Data";"snddat";"0xF000";"0x400";"raw";
"Floppy";"main";"0xF800";"0x64000";"floppy";
"Floppy";"disk01";"0x73800";"0x64000";"floppy";
"Floppy";"disk02";"0xD7800";"0x64000";"floppy";
"Floppy";"disk03";"0x13B800";"0x64000";"floppy";
"Floppy";"disk04";"0x19F800";"0x64000";"floppy";
"Floppy";"disk05";"0x203800";"0x64000";"floppy";
"Floppy";"disk06";"0x267800";"0x64000";"floppy";
"Floppy";"disk07";"0x2CB800";"0x64000";"floppy";
"Floppy";"disk08";"0x32F800";"0x64000";"floppy";
"Floppy";"disk09";"0x393800";"0x64000";"floppy";
"Floppy";"disk10";"0x3F7800";"0x64000";"floppy";
"Floppy";"disk11";"0x45B800";"0x64000";"floppy";
"Floppy";"disk12";"0x4BF800";"0x64000";"floppy";
"Floppy";"disk22";"0x8A7800";"0x64000";"floppy";
"Floppy";"disk23";"0x90B800";"0x64000";"floppy";
"Floppy";"disk24";"0x96F800";"0x64000";"floppy";
"Floppy";"disk25";"0x9D3800";"0x64000";"floppy";
"Floppy";"disk26";"0xA37800";"0x64000";"floppy";
"Floppy";"disk27";"0xA9B800";"0x64000";"floppy";
"Floppy";"disk28";"0xAFF800";"0x64000";"floppy";
"Floppy";"disk29";"0xB63800";"0x64000";"floppy";
"Floppy";"disk30";"0xBC7800";"0x64000";"floppy";
"Floppy";"disk31";"0xC2B800";"0x64000";"floppy";
"Floppy";"disk32";"0xC8F800";"0x64000";"floppy";
"Floppy";"disk33";"0xCF3800";"0x64000";"floppy";
"Floppy";"disk34";"0xD57800";"0x64000";"floppy";
"Floppy";"disk35";"0xDBB800";"0x64000";"floppy";
"Floppy";"disk36";"0xE1F800";"0x64000";"floppy";
"Floppy";"disk37";"0xE83800";"0x64000";"floppy";
"Floppy";"disk38";"0xEE7800";"0x64000";"floppy";
"Floppy";"disk39";"0xF4B800";"0x64000";"floppy";
"Floppy";"disk40";"0xFAF800";"0x64000";"floppy";
"Floppy";"disk41";"0x1013800";"0x64000";"floppy";
"Floppy";"disk42";"0x1077800";"0x64000";"floppy";
"Floppy";"disk43";"0x10DB800";"0x64000";"floppy";
"Floppy";"disk44";"0x18AB800";"0x64000";"floppy";
"Floppy";"disk45";"0x190F800";"0x64000";"floppy";
"Floppy";"disk46";"0x1973800";"0x64000";"floppy";
"Floppy";"disk47";"0x19D7800";"0x64000";"floppy";
"Floppy";"disk48";"0x1A3B800";"0x64000";"floppy";
"Floppy";"disk49";"0x1A9F800";"0x64000";"floppy";
"Floppy";"disk50";"0x1B03800";"0x64000";"floppy";
"Floppy";"disk51";"0x1B67800";"0x64000";"floppy";
"Floppy";"disk52";"0x1BCB800";"0x64000";"floppy";
