"disk";"script";"nextScript";"scriptN";"scribtSub";"disk2HD";"diskNum";"subDisk";"trackCD";"loadLineNum"
"main";;;-1;0;"main";0;0;"0x20000";-1
"disk01";"NO0";"NO1";0;0;"disk01";1;0;"0x154000";-1
"disk02";"NO1";"NO2";1;0;"disk02";2;0;"0x288000";-1
"disk02";"NO2";"N3-1";2;0;"disk02";2;0;"0x288000";-1
"disk02";"N3-1";"N3-2";3;1;"disk02";2;0;"0x288000";"[[15000,15010,15020,15040]]"
"disk03";"N3-2";"NO4";3;2;"disk02";2;1;"0x288000";-1
"disk03";"NO4";"N4-2";4;0;"disk02";2;1;"0x288000";"[[15000,15010,15020,15040]]"
"disk04";"N4-2";"NO5";4;2;"disk02";2;2;"0x288000";-1
"disk04";"NO5";"NO6";5;0;"disk02";2;2;"0x288000";"[[15000,15010,15020,15040]]"
"disk05";"NO6";"NO7";6;0;"disk03";3;0;"0x3BC000";"[[3000,3010,3020,3040]]"
"disk06";"NO7";"NO8";7;0;"disk03";3;1;"0x3BC000";"[[3000,3010,3020,3040]]"
"disk07";"NO8";"NO9";8;0;"disk03";3;2;"0x3BC000";-1
"disk07";"NO9";"NO10";9;0;"disk03";3;2;"0x3BC000";"[[3000,3010,3020,3040]]"
"disk08";"NO10";"NO11";10;0;"disk04";4;0;"0x4F0000";-1
"disk08";"NO11";"NO12";11;0;"disk04";4;0;"0x4F0000";"[[3000,3010,3020,3040]]"
"disk09";"NO12";"LIV1";12;0;"disk04";4;1;"0x4F0000";-1
"disk09";"LIV1";"NO13";-1;0;"disk04";4;1;"0x4F0000";-1
"disk09";"NO13";"NO14";13;0;"disk04";4;1;"0x4F0000";"[[3000,3010,3020,3040]]"
"disk10";"NO14";"NO15";14;0;"disk04";4;2;"0x4F0000";-1
"disk10";"NO15";"NO16";15;0;"disk04";4;2;"0x4F0000";"[[3000,3010,3020,3040]]"
"disk11";"NO16";"NO17";16;0;"disk05";5;0;"0x624000";-1
"disk11";"NO17";"NO18";17;0;"disk05";5;0;"0x624000";"[[3000,3010,3020,3040]]"
"disk12";"NO18";"NO19";18;0;"disk05";5;1;"0x624000";-1
"disk12";"NO19";"NO20,20-1";19;0;"disk05";5;1;"0x624000";-1
"disk12";"NO20";"20-1";20;0;"disk05";5;1;"0x624000";-1
"disk12";"20-1";"NO21";20;1;"disk05";5;1;"0x624000";"[[3000,3010,3020,3040]]"
"disk22";"NO45";"45-1";45;0;"disk08";8;2;"0x9C0000";-1
"disk22";"45-1";"NO46";45;1;"disk08";8;2;"0x9C0000";-1
"disk22";"NO46";"NO47";46;0;"disk08";8;2;"0x9C0000";"[[3000,3010,3020,3040]]"
"disk23";"NO47";"NO48";47;0;"disk09";9;0;"0xAF4000";-1
"disk23";"NO48";"NO49";48;0;"disk09";9;0;"0xAF4000";-1
"disk23";"NO49";"49-1";49;0;"disk09";9;0;"0xAF4000";-1
"disk23";"49-1";"NO50";49;1;"disk09";9;0;"0xAF4000";"[[3000,3010,3020,3040]]"
"disk24";"NO50";"NO51";50;0;"disk09";9;1;"0xAF4000";-1
"disk24";"NO51";"NO52";51;0;"disk09";9;1;"0xAF4000";"[[3000,3010,3020,3040]]"
"disk25";"NO52";"NO53";52;0;"disk09";9;2;"0xAF4000";-1
"disk25";"NO53";"53-1";53;0;"disk09";9;2;"0xAF4000";"[[3000,3010,3020,3040]]"
"disk26";"53-1";"NO54,NO71";53;1;"disk10";10;0;"0xC28000";"[[],[3000,3010,3020,3040]]"
"disk26";"NO54";"NO55";54;0;"disk10";10;0;"0xC28000";-1
"disk26";"NO55";"NO56";55;0;"disk10";10;0;"0xC28000";"[[3000,3010,3020,3040]]"
"disk27";"NO56";"NO57";56;0;"disk10";10;1;"0xC28000";-1
"disk27";"NO57";"NO58";57;0;"disk10";10;1;"0xC28000";"[[3000,3010,3020,3040]]"
"disk28";"NO58";"58-1";58;0;"disk10";10;2;"0xC28000";-1
"disk28";"58-1";"NO59";58;1;"disk10";10;2;"0xC28000";-1
"disk28";"NO59";"59-1";59;0;"disk10";10;2;"0xC28000";-1
"disk28";"59-1";"NO64,NO60";59;1;"disk10";10;2;"0xC28000";"[[3000,3010,3020,3040],[3060,3070,3080,3090]]"
"disk29";"NO60";"60-1";60;0;"disk11";11;0;"0xD5C000";-1
"disk29";"60-1";"60-2";60;1;"disk11";11;0;"0xD5C000";-1
"disk29";"60-2";"NO61";60;2;"disk11";11;0;"0xD5C000";"[[3000,3010,3020,3040]]"
"disk30";"NO61";"NO62,NO63";61;0;"disk11";11;1;"0xD5C000";"[[],[3000,3010,3020,3040]]"
"disk30";"NO62";"END";62;0;"disk11";11;1;"0xD5C000";"[[3000,3010,3020,3040]]"
"disk31";"NO63";"63-1";63;0;"disk11";11;2;"0xD5C000";-1
"disk31";"63-1";"END";63;1;"disk11";11;2;"0xD5C000";"[[3000,3010,3020,3040]]"
"disk32";"NO64";"NO65";64;0;"disk12";12;0;"0xE90000";-1
"disk32";"NO65";"NO66,NO69";65;0;"disk12";12;0;"0xE90000";"[[1250,1260,1270,1280],[3000,3010,3020,3040]]"
"disk33";"NO66";"NO67";66;0;"disk12";12;1;"0xE90000";-1
"disk33";"NO67";"67-1";67;0;"disk12";12;1;"0xE90000";"[[3000,3010,3020,3040]]"
"disk34";"67-1";"NO68";67;1;"disk12";12;2;"0xE90000";-1
"disk34";"NO68";"END";68;0;"disk12";12;2;"0xE90000";"[[3000,3010,3020,3040]]"
"disk35";"NO69";"69-1";69;0;"disk13";13;0;"0xFC4000";-1
"disk35";"69-1";"NO70";69;1;"disk13";13;0;"0xFC4000";-1
"disk35";"NO70";"70-1";70;0;"disk13";13;0;"0xFC4000";-1
"disk35";"70-1";"END";70;1;"disk13";13;0;"0xFC4000";"[[3000,3010,3020,3040]]"
"disk36";"NO71";"NO72";71;0;"disk13";13;1;"0xFC4000";-1
"disk36";"NO72";"NO73";72;0;"disk13";13;1;"0xFC4000";-1
"disk36";"NO73";"NO74";73;0;"disk13";13;1;"0xFC4000";-1
"disk36";"NO74";"NO75";74;0;"disk13";13;1;"0xFC4000";"[[3000,3010,3020,3040]]"
"disk37";"NO75";"NO76";75;0;"disk13";13;2;"0xFC4000";-1
"disk37";"NO76";"NO77,NO80";76;0;"disk13";13;2;"0xFC4000";"[[3000,3010,3020,3040],[3060,3070,3080,3090]]"
"disk38";"NO77";"NO78";77;0;"disk14";14;0;"0x10F8000";-1
"disk38";"NO78";"NO79";78;0;"disk14";14;0;"0x10F8000";"[[3000,3010,3020,3040]]"
"disk39";"NO79";"END";79;0;"disk14";14;1;"0x10F8000";"[[3000,3010,3020,3040]]"
"disk40";"NO80";"NO81";80;0;"disk14";14;2;"0x10F8000";-1
"disk40";"NO81";"NO82";81;0;"disk14";14;2;"0x10F8000";-1
"disk40";"NO82";"NO83,NO84";82;0;"disk14";14;2;"0x10F8000";"[[3000,3010,3020,3040],[3060,3070,3080,3090]]"
"disk41";"NO83";"END";83;0;"disk15";15;0;"0x122C000";"[[3000,3010,3020,3040]]"
"disk42";"NO84";"84-1";84;0;"disk15";15;1;"0x122C000";-1
"disk42";"84-1";"END";84;1;"disk15";15;1;"0x122C000";"[[3000,3010,3020,3040]]"
