"disk_num"	"script_num"	"basic_line"	"string_num"	"source_text"	"background_pic"	"portrait_pic"	"language"	"translation"	
"disk01"	"NO0"	10010	31	"この物語は一部を除いてフィクシ"			"EN"	"This story is a work of fiction."	
"disk01"	"NO0"	10011	32	"ョンであり、実在の人物・地名・"			"EN"	"Any similarity to actual persons, living"	
"disk01"	"NO0"	10012	33	"団体名とは一切関係ありません。"			"EN"	"or dead, is purely coincidental."	
"disk01"	"NO0"	10100	34	"白・・・・・・"			"EN"	"White..."	
"disk01"	"NO0"	10150	35	"白い部屋・・・"	"disk01/OPN1.png"		"EN"	"A white room..."	
"disk01"	"NO0"	10200	38	"白・・・・・・"	"disk01/OPN1.png"		"EN"	"White..."	
"disk01"	"NO0"	10250	39	"白い時間・・・"	"disk01/OPN2.png"		"EN"	"A white time..."	
"disk01"	"NO0"	10300	41	"見慣れた石畳"	"disk01/OPN2.png"		"EN"	"The familiar stone pavement"	
"disk01"	"NO0"	10350	42	"生まれ育った街"	"disk01/OPN2.png"		"EN"	"from the town I grew up in,"	
"disk01"	"NO0"	10370	43	"ベイエリア・・・"	"disk01/OPN3.png"		"EN"	"Bay Area..."	
"disk01"	"NO0"	10400	45	"時が流れていく"	"disk01/OPN3.png"		"EN"	"Time keeps flowing."	
"disk01"	"NO0"	10450	46	"霧に包まれた街角"	"disk01/OPN4.png"		"EN"	"I'm surrounded by fog."	
"disk01"	"NO0"	10500	49	"影だ・・・・"	"disk01/OPN4.png"		"EN"	"A shadow from that alley..."	
"disk01"	"NO0"	10550	50	"殺意を感じる"	"disk01/OPN5.png"		"EN"	"Blood lust."	
"disk01"	"NO0"	10600	52	"逃げる・・・・"	"disk01/OPN5.png"		"EN"	"I run..."	
"disk01"	"NO0"	10650	53	"何から・・・・"	"disk01/OPN5.png"		"EN"	"From who or what"	
"disk01"	"NO0"	10660	54	"わからない・・"	"disk01/OPN6.png"		"EN"	"I don't know..."	
"disk01"	"NO0"	10700	56	"なぜ俺が・・・"	"disk01/OPN6.png"		"EN"	"Why me...?"	
"disk01"	"NO0"	10750	57	"影の標的に・・"	"disk01/OPN6.png"		"EN"	"Who is the shadow after?"	
"disk01"	"NO0"	10760	58	"わからない・・"	"disk01/OPN7.png"		"EN"	"I don't know..."	
"disk01"	"NO0"	10800	60	"走れ、走れ・・・"	"disk01/OPN7.png"		"EN"	"Run, run..."	
"disk01"	"NO0"	10850	61	"影に追いつかれる"	"disk01/OPN8.png"		"EN"	"Who is this shadow"	
"disk01"	"NO0"	10900	64	"俺を殺そうとしている"	"disk01/OPN8.png"		"EN"	"Who is trying to kill me?"	
"disk01"	"NO0"	10950	65	"誰・・・わからない"	"disk01/OPN9.png"		"EN"	"I don't know..."	
"disk01"	"NO0"	11000	67	"逃げるんだ・・・"	"disk01/OPN9.png"		"EN"	"Keep running..."	
"disk01"	"NO0"	11050	68	"奴の足音が"	"disk01/OPN9.png"		"EN"	"The footsteps"	
"disk01"	"NO0"	11060	69	"そこまできた・・"	"disk01/OP10.png"		"EN"	"are coming..."	
"disk01"	"NO0"	11100	71	"殺意の影が"	"disk01/OP10.png"		"EN"	"The shadow of the killer"	
"disk01"	"NO0"	11150	72	"刃物を持って"	"disk01/OP10.png"		"EN"	"carrying a knife"	
"disk01"	"NO0"	11160	73	"鏡にうつる・・・"	"disk01/OP11.png"		"EN"	"is reflected in the mirror..."	
"disk01"	"NO0"	15000	75	"ＣＤ－ＲＯＭよりＤＡＴＡの読み込みを始めます。ＨＩＴ　ＡＮＹ　ＫＥＹ"	"disk01/OP11.png"		"EN"	"Press any key to start reading data from CD-ROM."	
"disk01"	"NO0"	15010	76	"　　　　　　　　ＣＤ－ＲＯＭよりＤＡＴＡを読み込み中"	"disk01/OP11.png"		"EN"	"Reading data..."	
"disk02"	"NO1"	110	2	"デビッド「ウワァッ！！・・・ハァ、ハァ・・・」"	"main/MEU4.png"		"EN"	"David: AHHH! *huff* *huff*"	
"disk02"	"NO1"	120	6	"デビッドは、最悪の寝覚めをしたので、全身にネットリとした汗をかいている。"	"disk02/OKIL.png"		"EN"	"David woke up screaming, his body covered in sweat."	
"disk02"	"NO1"	150	7	"デビッド「ちくしょう！　またあの夢だ！」"	"disk02/OKIL.png"		"EN"	"David: It was that goddamn nightmare again!"	
"disk02"	"NO1"	160	8	"子供の頃からときどき見る悪夢なのだが、なかなか慣れない・・・。"	"disk02/OKIL.png"		"EN"	"I've been having these nightmares since I was a kid, and I still can't get used to it..."	
"disk02"	"NO1"	170	9	"少し気になるのは成長するに連れてリアリティ－が増し、その分うなされる回数も増えていることだ。"	"disk02/OKIL.png"		"EN"	"What's bothering me is that they've been getting more and more realistic as I grew up. I've even been having them more frequently."	
"disk02"	"NO1"	180	10	"デビッド「このままじゃ夢に殺されてしまう。いっそ精神科にでも行くかな・・・」"	"disk02/OKIL.png"		"EN"	"David: If this keeps up, I might actually die for real. Maybe I really need a shrink..."	
"disk02"	"NO1"	190	11	"うなされるたびにそう思うデビッドであった。"	"disk02/OKIL.png"		"EN"	"That's what David thought every time he had one of his nightmares."	
"disk02"	"NO1"	200	12	"デビッド「・・・シャワ－でも浴びるか・・・」"	"disk02/OKIL.png"		"EN"	"David: ...Guess I'll take a shower."	
"disk02"	"NO1"	210	13	"シャワ－を浴びれば少しは気分も良くなるとデビッドは思った・・・。"	"disk02/OKIL.png"		"EN"	"He thought he'd feel better if he could relax under the hot water for a while..."	
"disk02"	"NO1"	310	14	"デビッド「いよいよ明日か・・・初のヨ－ロッパツア－に行くのは・・・」"	"disk02/SHYW.png"		"EN"	"David: Tomorrow's the day, huh? My first European tour."	
"disk02"	"NO1"	320	15	"デビッドはイギリス・インディ－ズシ－ンの中でも、デビュ－してたった１年でヨ－ロッパツア－を敢行するなど、新進気鋭のロックバンド［エレノ・ヴィジョン］の一員であり、"	"disk02/SHYW.png"		"EN"	"David was the vocalist of ""Eleno Vision"", an up-and-coming rock band of the UK indie scene."	
"disk02"	"NO1"	330	16	"そのフロントマンにふさわしい美形・知性・カリスマ性と三拍子そろったボ－カリストである。"	"disk02/SHYW.png"		"EN"	"That would have been their first tour of Europe since their debut, one year ago."	
"disk02"	"NO1"	400	17	"部屋の中を見わたす。"	"disk02/SHYW.png"		"EN"	"Look around the room."	
"disk02"	"NO1"	400	18	"ヨ－ロッパ・ツア－について考える。"	"disk02/SHYW.png"		"EN"	"Think about the European tour."	
"disk02"	"NO1"	400	19	"テレビのスイッチを入れる。"	"disk02/SHYW.png"		"EN"	"Turn on the TV."	
"disk02"	"NO1"	410	20	"デビッドは、冷えたミネラル・ウォ－タ－を片手に持ってソファ－に座っている。"	"disk02/MYR1.png"		"EN"	"David sat on the sofa, holding a cold bottle of mineral water."	
"disk02"	"NO1"	430	21	"売れっ子ミュ－ジシャンのわりには質素な造りの部屋で、こぎれいに片付けている。"	"disk02/MYR1.png"		"EN"	"It was a simple room for a famous musician. Clean and tidy."	
"disk02"	"NO1"	440	22	"デビッド「フ－ッ！　こんな調子でツア－に出るとは・・・」"	"disk02/MYR1.png"	"main/davL.png"	"EN"	"David: Whew. How am I supposed to go on our tour when I feel like this...?"	
"disk02"	"NO1"	450	23	"デビッド「ダメだ！　そんな弱気になっていては・・・シッカリしないと・・・」"	"disk02/MYR1.png"	"main/davL.png"	"EN"	"David: ...No, I can't act like a wimp now. I have to man up."	
"disk02"	"NO1"	460	24	"デビッド「まだこんな時間か・・・テレビでも見るか」"	"disk02/MYR1.png"	"main/davL.png"	"EN"	"David: It's still early... I'll watch some TV."	
"disk02"	"NO1"	502	26	"デビッド「昼間は、国営放送は休みか！？　税金ばかり高く取るわりに、休んでいるとは・・・しっかり働いてくれよ」"	"disk02/MYR2.png"	"main/davL.png"	"EN"	"David: Huh? No public broadcasts during the day? What do I even pay taxes for?"	
